Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Sampling rate
1.8047,8.7719,15.593,8.6676,2.2505,14.525,-6.3281,1.3821,-5.0773,-11.947,4.1828,
1.8125,10.011,20.407,10.344,-3.419,15.054,0.24811,8.3205,1.0443,-1.7749,10.3,
1.8203,22.459,28.98,17.135,3.1373,21.268,4.8407,14.631,6.7097,-0.03826,13.234,
1.8281,17.017,25.548,15.459,6.7708,15.641,2.6966,10.657,2.6518,-3.4721,8.8183,
1.8359,17.552,22.328,13.758,0.64006,17.851,-0.12781,8.6429,1.1135,-9.6716,7.5268,
1.8438,16.422,16.804,12.156,2.8236,17.105,-7.4377,2.3384,-5.211,-15.606,4.3775,
1.8516,16.633,11.24,7.9097,2.5825,8.1251,-13.641,-4.6406,-12.23,-19.038,-3.5661,
1.8594,4.4165,6.9045,1.0804,-3.0898,3.7052,-11.914,-8.539,-14.094,-20.867,-9.039,
1.8672,3.0217,6.5297,0.57741,-5.3505,4.7094,-11.571,-6.0921,-10.904,-20.442,-4.1296,
1.875,-0.73081,7.2245,-3.0223,-11.977,-0.22608,-13.452,-5.6991,-9.4381,-20.047,0.035243,
1.8828,-0.47159,3.2059,-6.0978,-14.456,-6.4928,-12.733,-5.8811,-12.299,-17.481,0.67547,
1.8906,0.4583,5.4006,-4.2195,-10.228,-0.63026,-16.179,-5.8267,-12.996,-23.835,-0.067202,
1.8984,1.4549,6.0011,-0.62742,-6.1565,1.9229,-13.964,-3.7259,-9.8097,-17.752,0.27284,
1.9063,4.1692,6.6701,-1.1033,-10.729,2.5139,-13.531,-3.9917,-11.051,-18.78,0.12802,
1.9141,-1.3232,9.2202,0.80553,-8.5292,8.4481,-6.5885,0.039981,-6.9767,-15.24,4.8376,
1.9219,3.7072,12.437,4.7816,-5.2626,12.05,-5.4704,2.5247,-1.8972,-8.5389,10.605,
1.9297,-0.52316,6.9174,-0.60827,-9.4942,5.7401,-13.132,-5.5804,-11.569,-21.289,0.94316,
1.9375,9.1338,7.5851,1.1081,-11.09,2.2307,-8.8615,-3.2853,-10.897,-21.938,-0.39443,
